topology,seed,generation,best_fitness,mean_fitness,diversity_total,diversity_between,diversity_within
none,1,0,0.635790,0.108905,0.333531,0.116987,0.335249
none,1,1,0.647876,0.232208,0.297852,0.095554,0.297819
none,1,2,0.647876,0.315764,0.296926,0.178410,0.257457
none,1,3,0.695931,0.380211,0.288141,0.184927,0.238300
none,1,4,0.695931,0.435637,0.265359,0.165523,0.223114
none,1,5,0.695931,0.477608,0.244755,0.201638,0.177575
none,1,6,0.695931,0.497529,0.248928,0.228112,0.159936
none,1,7,0.695931,0.522057,0.240492,0.236205,0.137011
none,1,8,0.695931,0.494506,0.259103,0.262319,0.133812
none,1,9,0.695931,0.566174,0.255666,0.247441,0.147650
none,1,10,0.695931,0.564489,0.241608,0.241878,0.137202
none,1,11,0.695931,0.517541,0.232213,0.229834,0.134824
none,1,12,0.695931,0.567759,0.269085,0.276739,0.143494
none,1,13,0.695931,0.530797,0.261339,0.265914,0.143212
none,1,14,0.695931,0.519980,0.275640,0.276229,0.159941
none,1,15,0.695931,0.569631,0.253486,0.257478,0.142874
none,1,16,0.695931,0.523231,0.291426,0.294573,0.163010
none,1,17,0.695931,0.555240,0.268385,0.273507,0.148770
none,1,18,0.695931,0.550169,0.285362,0.277088,0.165132
none,1,19,0.702582,0.495700,0.261955,0.237278,0.171621
none,1,20,0.702582,0.559663,0.235190,0.232387,0.133618
none,1,21,0.709468,0.570046,0.259898,0.274731,0.125009
none,1,22,0.709468,0.517303,0.262339,0.272937,0.132037
none,1,23,0.709468,0.564814,0.254142,0.264118,0.130047
none,1,24,0.709468,0.547828,0.254234,0.262897,0.131505
none,1,25,0.709468,0.566747,0.227016,0.221321,0.128541
none,1,26,0.709468,0.554953,0.223741,0.217096,0.128653
none,1,27,0.709468,0.566665,0.225663,0.213019,0.138153
none,1,28,0.709468,0.546528,0.231757,0.202653,0.153683
none,1,29,0.709468,0.517187,0.229526,0.180924,0.167263
none,2,0,0.645835,0.143986,0.338578,0.120249,0.335727
none,2,1,0.656251,0.317548,0.363401,0.259641,0.291955
none,2,2,0.656251,0.444959,0.318706,0.290829,0.202788
none,2,3,0.656251,0.485917,0.280347,0.271496,0.166158
none,2,4,0.658996,0.454913,0.271704,0.268362,0.160557
none,2,5,0.658996,0.449967,0.295961,0.318475,0.139944
none,2,6,0.668452,0.422498,0.303794,0.315012,0.157226
none,2,7,0.668452,0.474061,0.315735,0.338257,0.153093
none,2,8,0.671417,0.443509,0.350004,0.362943,0.181330
none,2,9,0.671417,0.435410,0.328272,0.356479,0.144621
none,2,10,0.671417,0.458432,0.335574,0.359765,0.159355
none,2,11,0.718158,0.485992,0.321143,0.338727,0.156534
none,2,12,0.718158,0.470252,0.308609,0.312460,0.173764
none,2,13,0.718158,0.458326,0.276276,0.278175,0.156763
none,2,14,0.718158,0.506980,0.270307,0.258083,0.166626
none,2,15,0.718158,0.466823,0.270483,0.259549,0.163835
none,2,16,0.718158,0.485631,0.272259,0.274718,0.147716
none,2,17,0.718158,0.422021,0.270141,0.260827,0.159618
